Episode,Step,Action,Reward,Mean Reward,State Values,Action Probs
1,1,Select,1.7163109338129097,1.7163109338129097,"[array([0.3], dtype=float32), array([0.15912409], dtype=float32), array([0.9753184], dtype=float32), array([0.3], dtype=float32), array([1.], dtype=float32), array([0.60483825], dtype=float32)]","[0.19931992888450623, 0.6930910348892212, 0.10758903622627258]"
1,2,Select,1.7683982405225864,1.742354587167748,"[array([0.3], dtype=float32), array([0.13881777], dtype=float32), array([1.], dtype=float32), array([1.], dtype=float32), array([0.95], dtype=float32), array([0.82954717], dtype=float32)]","[0.1647004932165146, 0.7197047472000122, 0.11559474468231201]"
1,3,Select,3.4466586745995023,2.3104559496449997,"[array([0.3], dtype=float32), array([0.4848853], dtype=float32), array([1.], dtype=float32), array([0.3], dtype=float32), array([0.9], dtype=float32), array([0.594847], dtype=float32)]","[0.02714793011546135, 0.9015676379203796, 0.0712844729423523]"
1,4,Select,2.019325638023541,2.2376733717396347,"[array([0.], dtype=float32), array([-0.640751], dtype=float32), array([0.73695743], dtype=float32), array([1.], dtype=float32), array([0.85], dtype=float32), array([0.55004853], dtype=float32)]","[0.14185748994350433, 0.7375071048736572, 0.12063539028167725]"
1,5,Select,2.1337356106653096,2.21688581952477,"[array([0.3], dtype=float32), array([-0.5726679], dtype=float32), array([0.7293659], dtype=float32), array([0.3], dtype=float32), array([0.8], dtype=float32), array([0.4716817], dtype=float32)]","[0.12225575745105743, 0.7987586259841919, 0.07898560166358948]"
1,6,Select,1.4858508027987984,2.0950466500704414,"[array([0.], dtype=float32), array([-0.10666924], dtype=float32), array([0.75194037], dtype=float32), array([1.], dtype=float32), array([0.75], dtype=float32), array([0.75022453], dtype=float32)]","[0.36685067415237427, 0.5316420793533325, 0.1015072837471962]"
1,7,Select,2.6450778670429105,2.1736225382093655,"[array([0.], dtype=float32), array([0.4741558], dtype=float32), array([0.71036017], dtype=float32), array([1.], dtype=float32), array([0.7], dtype=float32), array([0.6626735], dtype=float32)]","[0.05805158615112305, 0.8717887997627258, 0.0701596736907959]"
1,8,Select,2.7761393789760547,2.2489371433052017,"[array([0.], dtype=float32), array([-0.57313704], dtype=float32), array([0.74765843], dtype=float32), array([1.], dtype=float32), array([0.65], dtype=float32), array([0.6190936], dtype=float32)]","[0.04055776074528694, 0.8938148617744446, 0.06562739610671997]"
1,9,Select,2.483282487466707,2.2749755148787023,"[array([0.3], dtype=float32), array([-0.42445564], dtype=float32), array([0.31357634], dtype=float32), array([1.], dtype=float32), array([0.6], dtype=float32), array([0.5380587], dtype=float32)]","[0.12577195465564728, 0.8005083799362183, 0.07371967285871506]"
1,10,Select,2.1527234726733804,2.26275031065817,"[array([0.3], dtype=float32), array([-0.24907236], dtype=float32), array([0.54769117], dtype=float32), array([1.], dtype=float32), array([0.55], dtype=float32), array([0.66100883], dtype=float32)]","[0.10274239629507065, 0.8178049325942993, 0.07945262640714645]"
2,1,Prioritize,2.139523119482979,2.139523119482979,"[array([0.3], dtype=float32), array([-0.0328646], dtype=float32), array([0.85224766], dtype=float32), array([1.], dtype=float32), array([1.], dtype=float32), array([0.64140165], dtype=float32)]","[0.021075883880257607, 0.9094472527503967, 0.06947679817676544]"
2,2,Select,2.1954220335397743,2.1674725765113765,"[array([0.3], dtype=float32), array([-1.], dtype=float32), array([1.], dtype=float32), array([1.], dtype=float32), array([0.95], dtype=float32), array([0.45682272], dtype=float32)]","[0.042528312653303146, 0.8792775869369507, 0.07819408923387527]"
2,3,Select,1.970337944704457,2.1017610325757365,"[array([0.], dtype=float32), array([-0.8741029], dtype=float32), array([0.88525087], dtype=float32), array([0.3], dtype=float32), array([0.9], dtype=float32), array([0.15049486], dtype=float32)]","[0.15194787085056305, 0.7640218734741211, 0.08403018116950989]"
2,4,Skip,1.6438540263259338,1.9872842810132858,"[array([0.5], dtype=float32), array([0.6656141], dtype=float32), array([0.8053146], dtype=float32), array([1.], dtype=float32), array([0.85], dtype=float32), array([0.591337], dtype=float32)]","[0.644146740436554, 0.29430779814720154, 0.0615454763174057]"
2,5,Select,2.9232900297965836,2.1744854307699457,"[array([0.45], dtype=float32), array([-0.582568], dtype=float32), array([0.8081785], dtype=float32), array([1.], dtype=float32), array([0.8], dtype=float32), array([0.5643522], dtype=float32)]","[0.027979189530014992, 0.8947028517723083, 0.07731787860393524]"
