Episode,Step,Action,Reward,Mean Reward,State Values,Action Probs
1,1,Select,2.4810023757284667,2.4810023757284667,"[array([0.5], dtype=float32), array([-0.62319314], dtype=float32), array([0.8757602], dtype=float32), array([1.], dtype=float32), array([1.], dtype=float32), array([0.63527185], dtype=float32)]","[0.33, 0.33, 0.34]"
1,2,Select,2.1937933772445897,2.337397876486528,"[array([0.65], dtype=float32), array([0.11964869], dtype=float32), array([0.9215301], dtype=float32), array([0.3], dtype=float32), array([0.95], dtype=float32), array([0.5522073], dtype=float32)]","[0.33, 0.33, 0.34]"
1,3,Select,1.6732197569567095,2.1160051699765883,"[array([0.5], dtype=float32), array([-0.25627694], dtype=float32), array([0.845487], dtype=float32), array([0.3], dtype=float32), array([0.9], dtype=float32), array([0.45998523], dtype=float32)]","[0.33, 0.33, 0.34]"
1,4,Select,1.4449766252197516,1.948248033787379,"[array([0.], dtype=float32), array([0.7744522], dtype=float32), array([0.75416803], dtype=float32), array([0.3], dtype=float32), array([0.85], dtype=float32), array([0.46338212], dtype=float32)]","[0.33, 0.33, 0.34]"
1,5,Select,2.18545475146731,1.9956893773233653,"[array([0.], dtype=float32), array([0.406408], dtype=float32), array([0.8162628], dtype=float32), array([0.3], dtype=float32), array([0.8], dtype=float32), array([0.5134992], dtype=float32)]","[0.33, 0.33, 0.34]"
1,6,Select,1.8304084019855618,1.968142548100398,"[array([0.3], dtype=float32), array([0.6232838], dtype=float32), array([0.69864786], dtype=float32), array([1.], dtype=float32), array([0.75], dtype=float32), array([0.7087978], dtype=float32)]","[0.33, 0.33, 0.34]"
1,7,Select,3.2253042733622226,2.147737080280659,"[array([0.], dtype=float32), array([-0.45500776], dtype=float32), array([0.70965064], dtype=float32), array([1.], dtype=float32), array([0.7], dtype=float32), array([0.5263432], dtype=float32)]","[0.33, 0.33, 0.34]"
1,8,Select,2.2209698260240582,2.156891173498584,"[array([0.3], dtype=float32), array([0.8139964], dtype=float32), array([0.5579987], dtype=float32), array([1.], dtype=float32), array([0.65], dtype=float32), array([0.6969493], dtype=float32)]","[0.33, 0.33, 0.34]"
1,9,Select,3.3895300347181117,2.2938510469674203,"[array([0.5], dtype=float32), array([0.31427062], dtype=float32), array([0.45161933], dtype=float32), array([0.3], dtype=float32), array([0.6], dtype=float32), array([0.53328085], dtype=float32)]","[0.33, 0.33, 0.34]"
1,10,Select,1.809226251511971,2.2453885674218754,"[array([0.3], dtype=float32), array([0.39870563], dtype=float32), array([0.46787396], dtype=float32), array([1.], dtype=float32), array([0.55], dtype=float32), array([0.64306015], dtype=float32)]","[0.33, 0.33, 0.34]"
2,1,Select,2.4290331113036605,2.4290331113036605,"[array([0.3], dtype=float32), array([1.], dtype=float32), array([0.7591912], dtype=float32), array([1.], dtype=float32), array([1.], dtype=float32), array([0.91058356], dtype=float32)]","[0.33, 0.33, 0.34]"
2,2,Select,4.1427269186592035,3.285880014981432,"[array([0.65], dtype=float32), array([0.7380154], dtype=float32), array([0.95249146], dtype=float32), array([1.], dtype=float32), array([0.95], dtype=float32), array([0.9684868], dtype=float32)]","[0.33, 0.33, 0.34]"
