Episode,Step,Action,Reward,Mean Reward,State Values,Action Probs
1,1,Select,2.2849093928081055,2.2849093928081055,"[array([0.], dtype=float32), array([-0.87340516], dtype=float32), array([1.], dtype=float32), array([1.], dtype=float32), array([1.], dtype=float32), array([0.46726525], dtype=float32)]","[0.33, 0.33, 0.34]"
1,2,Skip,2.01138361378429,2.1481465032961977,"[array([0.], dtype=float32), array([1.], dtype=float32), array([0.85345584], dtype=float32), array([1.], dtype=float32), array([0.95], dtype=float32), array([0.83377105], dtype=float32)]","[0.33, 0.33, 0.34]"
1,3,Select,3.959770232043329,2.752021079545241,"[array([0.3], dtype=float32), array([-0.6126311], dtype=float32), array([0.7252858], dtype=float32), array([1.], dtype=float32), array([0.9], dtype=float32), array([0.59537745], dtype=float32)]","[0.33, 0.33, 0.34]"
1,4,Select,1.651586683547465,2.4769124805457974,"[array([0.2], dtype=float32), array([-0.8914913], dtype=float32), array([0.6763291], dtype=float32), array([0.3], dtype=float32), array([0.85], dtype=float32), array([0.26365834], dtype=float32)]","[0.33, 0.33, 0.34]"
1,5,Skip,2.324374086308023,2.4464048016982423,"[array([0.3], dtype=float32), array([1.], dtype=float32), array([0.750554], dtype=float32), array([0.3], dtype=float32), array([0.8], dtype=float32), array([0.7425557], dtype=float32)]","[0.33, 0.33, 0.34]"
1,6,Select,2.7854831538852554,2.502917860396078,"[array([0.], dtype=float32), array([-1.], dtype=float32), array([0.73581225], dtype=float32), array([1.], dtype=float32), array([0.75], dtype=float32), array([0.48780906], dtype=float32)]","[0.33, 0.33, 0.34]"
1,7,Skip,2.294251517557229,2.4731083828476708,"[array([0.], dtype=float32), array([-1.], dtype=float32), array([0.6122935], dtype=float32), array([0.3], dtype=float32), array([0.7], dtype=float32), array([0.24736613], dtype=float32)]","[0.33, 0.33, 0.34]"
1,8,Skip,2.2370687426687446,2.4436034278253054,"[array([0.], dtype=float32), array([-0.24401087], dtype=float32), array([0.6462874], dtype=float32), array([1.], dtype=float32), array([0.65], dtype=float32), array([0.6567381], dtype=float32)]","[0.33, 0.33, 0.34]"
1,9,Select,2.0827475103560316,2.403508325884275,"[array([0.], dtype=float32), array([-0.43250623], dtype=float32), array([0.38386762], dtype=float32), array([0.3], dtype=float32), array([0.6], dtype=float32), array([0.23242424], dtype=float32)]","[0.33, 0.33, 0.34]"
1,10,Skip,1.7336257991553878,2.3365200732113864,"[array([0.], dtype=float32), array([-0.6611035], dtype=float32), array([0.41310787], dtype=float32), array([0.3], dtype=float32), array([0.55], dtype=float32), array([0.46730894], dtype=float32)]","[0.33, 0.33, 0.34]"
2,1,Select,1.3672813668285815,1.3672813668285815,"[array([0.3], dtype=float32), array([-0.7218515], dtype=float32), array([0.8568], dtype=float32), array([0.3], dtype=float32), array([1.], dtype=float32), array([0.590779], dtype=float32)]","[0.33, 0.33, 0.34]"
2,2,Select,1.0114863854575797,1.1893838761430806,"[array([0.], dtype=float32), array([1.], dtype=float32), array([1.], dtype=float32), array([0.3], dtype=float32), array([0.95], dtype=float32), array([0.48797432], dtype=float32)]","[0.33, 0.33, 0.34]"
2,3,Select,2.0914028648803527,1.4900568723888379,"[array([0.45], dtype=float32), array([-0.8948013], dtype=float32), array([0.8413575], dtype=float32), array([0.3], dtype=float32), array([0.9], dtype=float32), array([0.13453202], dtype=float32)]","[0.33, 0.33, 0.34]"
