Episode,Step,Action,Reward,Mean Reward,State Values,Action Probs
1,1,Skip,1.5628065403160405,1.5628065403160405,"[array([0.3], dtype=float32), array([-0.66194326], dtype=float32), array([1.], dtype=float32), array([0.3], dtype=float32), array([1.], dtype=float32), array([0.45096186], dtype=float32)]","[0.6763098835945129, 0.22312799096107483, 0.10056208074092865]"
1,2,Skip,1.5633602795017363,1.5630834099088884,"[array([0.3], dtype=float32), array([0.6488714], dtype=float32), array([0.6806408], dtype=float32), array([1.], dtype=float32), array([0.95], dtype=float32), array([0.78392684], dtype=float32)]","[0.6118699312210083, 0.3250187039375305, 0.06311142444610596]"
1,3,Prioritize,3.2076018381837232,2.1112562193338333,"[array([0.5], dtype=float32), array([-0.86051214], dtype=float32), array([0.8098937], dtype=float32), array([1.], dtype=float32), array([0.9], dtype=float32), array([0.4937377], dtype=float32)]","[0.01541644986718893, 0.48407280445098877, 0.5005108118057251]"
1,4,Skip,1.8676706334661854,2.050359822866921,"[array([0.5], dtype=float32), array([-0.29671794], dtype=float32), array([0.86199605], dtype=float32), array([0.3], dtype=float32), array([0.85], dtype=float32), array([0.37970632], dtype=float32)]","[0.5596539974212646, 0.3250013291835785, 0.11534473299980164]"
1,5,Skip,1.496603130544451,1.9396084844024268,"[array([0.45], dtype=float32), array([-0.8517764], dtype=float32), array([0.5965825], dtype=float32), array([0.3], dtype=float32), array([0.8], dtype=float32), array([0.77727103], dtype=float32)]","[0.6154959201812744, 0.2695460021495819, 0.11495813727378845]"
1,6,Select,2.443429475217039,2.0235786495381958,"[array([0.5], dtype=float32), array([-0.17841607], dtype=float32), array([0.60061955], dtype=float32), array([1.], dtype=float32), array([0.75], dtype=float32), array([0.66816866], dtype=float32)]","[0.05191594362258911, 0.8316094279289246, 0.11647471785545349]"
1,7,Select,2.305586910563625,2.0638655439703997,"[array([0.], dtype=float32), array([0.15648091], dtype=float32), array([0.73591113], dtype=float32), array([0.3], dtype=float32), array([0.7], dtype=float32), array([0.27240956], dtype=float32)]","[0.08395801484584808, 0.7904660105705261, 0.1255759298801422]"
1,8,Skip,1.4281489042419475,1.9844009640043436,"[array([0.], dtype=float32), array([-0.15234004], dtype=float32), array([0.505927], dtype=float32), array([0.3], dtype=float32), array([0.65], dtype=float32), array([0.19209689], dtype=float32)]","[0.6286156177520752, 0.2668359577655792, 0.10454849153757095]"
1,9,Skip,1.43253180672639,1.9230821687512376,"[array([0.45], dtype=float32), array([-0.25344375], dtype=float32), array([0.56426585], dtype=float32), array([0.3], dtype=float32), array([0.6], dtype=float32), array([0.09434029], dtype=float32)]","[0.6999472975730896, 0.18056336045265198, 0.11948927491903305]"
1,10,Skip,1.5714522829832474,1.8879191801744386,"[array([0.], dtype=float32), array([-0.0037288], dtype=float32), array([0.37057766], dtype=float32), array([1.], dtype=float32), array([0.55], dtype=float32), array([0.573413], dtype=float32)]","[0.7111741304397583, 0.12696604430675507, 0.16185984015464783]"
2,1,Select,1.3163444411280443,1.3163444411280443,"[array([0.65], dtype=float32), array([0.8034263], dtype=float32), array([0.7899506], dtype=float32), array([1.], dtype=float32), array([1.], dtype=float32), array([0.9376705], dtype=float32)]","[0.03725763037800789, 0.889139711856842, 0.07360265403985977]"
2,2,Select,3.6569728361182894,2.486658638623167,"[array([0.5], dtype=float32), array([0.63569146], dtype=float32), array([0.95437217], dtype=float32), array([1.], dtype=float32), array([0.95], dtype=float32), array([0.7237278], dtype=float32)]","[0.0011881543323397636, 0.8051773905754089, 0.19363439083099365]"
2,3,Select,2.6759703931579932,2.549762556801442,"[array([0.3], dtype=float32), array([0.33562717], dtype=float32), array([0.89549196], dtype=float32), array([1.], dtype=float32), array([0.9], dtype=float32), array([0.59953207], dtype=float32)]","[0.209625244140625, 0.7532527446746826, 0.03712207451462746]"
2,4,Select,1.835926021982571,2.3713034230967245,"[array([0.3], dtype=float32), array([-1.], dtype=float32), array([0.79846174], dtype=float32), array([0.3], dtype=float32), array([0.85], dtype=float32), array([0.49763554], dtype=float32)]","[0.1793689727783203, 0.7086864113807678, 0.11194455623626709]"
