Episode,Step,Action,Reward,Mean Reward,State Values,Action Probs
1,1,Prioritize,2.9047926082064817,2.9047926082064817,"[array([0.45], dtype=float32), array([0.6386853], dtype=float32), array([1.], dtype=float32), array([1.], dtype=float32), array([1.], dtype=float32), array([0.88862896], dtype=float32)]","[0.1, 0.1, 0.8]"
1,2,Prioritize,2.8300118127022342,2.867402210454358,"[array([0.5], dtype=float32), array([-0.8601448], dtype=float32), array([0.87267786], dtype=float32), array([1.], dtype=float32), array([0.95], dtype=float32), array([0.5430766], dtype=float32)]","[0.1, 0.1, 0.8]"
1,3,Select,2.0488677118196743,2.5945573775761304,"[array([0.2], dtype=float32), array([-0.23639353], dtype=float32), array([0.9421716], dtype=float32), array([1.], dtype=float32), array([0.9], dtype=float32), array([0.6500655], dtype=float32)]","[0.33, 0.33, 0.34]"
1,4,Select,2.0187141026543873,2.4505965588456946,"[array([0.3], dtype=float32), array([0.89812076], dtype=float32), array([0.872439], dtype=float32), array([1.], dtype=float32), array([0.85], dtype=float32), array([0.9448993], dtype=float32)]","[0.33, 0.33, 0.34]"
1,5,Prioritize,3.9446922226689742,2.7494156916103507,"[array([0.], dtype=float32), array([0.0139364], dtype=float32), array([0.61555564], dtype=float32), array([1.], dtype=float32), array([0.8], dtype=float32), array([0.3892715], dtype=float32)]","[0.1, 0.1, 0.8]"
1,6,Select,1.482493540729823,2.5382619997969296,"[array([0.], dtype=float32), array([0.3985402], dtype=float32), array([0.66909844], dtype=float32), array([1.], dtype=float32), array([0.75], dtype=float32), array([0.3872978], dtype=float32)]","[0.33, 0.33, 0.34]"
1,7,Select,1.7909661201784168,2.4315054455657132,"[array([0.], dtype=float32), array([-0.6869142], dtype=float32), array([0.65939516], dtype=float32), array([0.3], dtype=float32), array([0.7], dtype=float32), array([0.23176315], dtype=float32)]","[0.33, 0.33, 0.34]"
1,8,Skip,2.8121181384915053,2.479082032181437,"[array([0.3], dtype=float32), array([-0.48189846], dtype=float32), array([0.67383224], dtype=float32), array([1.], dtype=float32), array([0.65], dtype=float32), array([0.4873724], dtype=float32)]","[0.33, 0.33, 0.34]"
1,9,Select,1.7821408646354227,2.4016441246763245,"[array([0.], dtype=float32), array([-0.1475265], dtype=float32), array([0.39172316], dtype=float32), array([1.], dtype=float32), array([0.6], dtype=float32), array([0.55415815], dtype=float32)]","[0.33, 0.33, 0.34]"
1,10,Select,1.7425208808063473,2.3357318002893264,"[array([0.65], dtype=float32), array([0.10640477], dtype=float32), array([0.33540848], dtype=float32), array([0.3], dtype=float32), array([0.55], dtype=float32), array([0.31483105], dtype=float32)]","[0.33, 0.33, 0.34]"
2,1,Select,1.5721277010124775,1.5721277010124775,"[array([0.], dtype=float32), array([-0.3391211], dtype=float32), array([0.8070642], dtype=float32), array([1.], dtype=float32), array([1.], dtype=float32), array([0.62870276], dtype=float32)]","[0.33, 0.33, 0.34]"
2,2,Select,1.4998097399622448,1.535968720487361,"[array([0.], dtype=float32), array([0.2299435], dtype=float32), array([0.85598975], dtype=float32), array([1.], dtype=float32), array([0.95], dtype=float32), array([0.80534416], dtype=float32)]","[0.33, 0.33, 0.34]"
2,3,Prioritize,3.102114078729445,2.0580171732347226,"[array([0.3], dtype=float32), array([-1.], dtype=float32), array([0.97005785], dtype=float32), array([1.], dtype=float32), array([0.9], dtype=float32), array([0.7259675], dtype=float32)]","[0.1, 0.1, 0.8]"
2,4,Select,2.0123338744735975,2.0465963485444414,"[array([0.3], dtype=float32), array([0.4707043], dtype=float32), array([0.8034098], dtype=float32), array([1.], dtype=float32), array([0.85], dtype=float32), array([0.6935851], dtype=float32)]","[0.33, 0.33, 0.34]"
2,5,Select,2.215637022374406,2.080404483310434,"[array([0.3], dtype=float32), array([-0.11573979], dtype=float32), array([0.7895067], dtype=float32), array([0.3], dtype=float32), array([0.8], dtype=float32), array([0.48990172], dtype=float32)]","[0.33, 0.33, 0.34]"
2,6,Select,1.0543785516850745,1.9094001613728742,"[array([0.], dtype=float32), array([0.5112807], dtype=float32), array([0.6681462], dtype=float32), array([1.], dtype=float32), array([0.75], dtype=float32), array([0.61927176], dtype=float32)]","[0.33, 0.33, 0.34]"
2,7,Select,2.6251929410592885,2.0116562727566474,"[array([0.3], dtype=float32), array([0.61137414], dtype=float32), array([0.6304247], dtype=float32), array([1.], dtype=float32), array([0.7], dtype=float32), array([0.7101566], dtype=float32)]","[0.33, 0.33, 0.34]"
