Episode,Step,Action,Reward,Mean Reward,State Values,Action Probs
1,1,Skip,-0.19999999999999996,-0.19999999999999996,"[array([0.2], dtype=float32), array([0.39990494], dtype=float32), array([0.71728677], dtype=float32), array([1.], dtype=float32), array([1.], dtype=float32), array([0.60470635], dtype=float32)]","[1.0, 1.314295478005434e-10, 1.2740999119457974e-13]"
1,2,Select,1.9719760594521525,0.8859880297260763,"[array([0.3], dtype=float32), array([0.81602323], dtype=float32), array([0.821535], dtype=float32), array([1.], dtype=float32), array([0.95], dtype=float32), array([1.], dtype=float32)]","[0.0, 1.0, 7.3068742120212446e-37]"
1,3,Select,4.091815828913882,1.9545972961220113,"[array([0.5], dtype=float32), array([-0.39189556], dtype=float32), array([0.8028204], dtype=float32), array([0.3], dtype=float32), array([0.9], dtype=float32), array([0.6186838], dtype=float32)]","[0.0, 1.0, 1.1749321453942453e-35]"
1,4,Skip,0.12000000000000005,1.4959479720915085,"[array([0.2], dtype=float32), array([0.17034636], dtype=float32), array([0.83084416], dtype=float32), array([1.], dtype=float32), array([0.85], dtype=float32), array([0.659628], dtype=float32)]","[1.0, 2.9207878782244734e-08, 5.03764981119037e-11]"
1,5,Select,2.0835762215470313,1.6134736219826131,"[array([0.45], dtype=float32), array([-0.3242528], dtype=float32), array([0.7734252], dtype=float32), array([0.3], dtype=float32), array([0.8], dtype=float32), array([0.3984052], dtype=float32)]","[5.764219926375815e-32, 1.0, 2.4934862772367347e-21]"
1,6,Skip,1.6950585246584426,1.627071105761918,"[array([0.3], dtype=float32), array([0.41361472], dtype=float32), array([0.7323301], dtype=float32), array([1.], dtype=float32), array([0.75], dtype=float32), array([0.3953458], dtype=float32)]","[0.9999996423721313, 3.3578399438738415e-07, 1.8210993824041566e-09]"
1,7,Select,1.8556002954012214,1.6597181328532469,"[array([0.5], dtype=float32), array([0.5216849], dtype=float32), array([0.7154149], dtype=float32), array([1.], dtype=float32), array([0.7], dtype=float32), array([0.90253115], dtype=float32)]","[3.4703945231883694e-34, 1.0, 8.329164315544867e-21]"
1,8,Select,4.198116691158263,1.9770179526413743,"[array([0.], dtype=float32), array([-0.40494475], dtype=float32), array([0.5042231], dtype=float32), array([1.], dtype=float32), array([0.65], dtype=float32), array([0.14560054], dtype=float32)]","[8.299682497768524e-25, 1.0, 4.872033139202486e-15]"
1,9,Skip,1.7726314721606142,1.9543083436990676,"[array([0.], dtype=float32), array([-0.48358017], dtype=float32), array([0.55211395], dtype=float32), array([1.], dtype=float32), array([0.6], dtype=float32), array([0.24244455], dtype=float32)]","[0.9999362230300903, 6.115069845691323e-05, 2.588603138065082e-06]"
1,10,Skip,1.8774757301968361,1.9466250823488445,"[array([0.], dtype=float32), array([0.65944266], dtype=float32), array([0.36245412], dtype=float32), array([1.], dtype=float32), array([0.55], dtype=float32), array([0.44728446], dtype=float32)]","[0.9998506307601929, 0.00014035981439519674, 8.920354048314039e-06]"
